city,categories,count
WEYMOUTH,Coffee & Tea,7
WINCHESTER,Others,7
WINTHROP,Coffee & Tea,7
LEXINGTON,Fast Food,7
SAUGUS,Asian Fusion,7
SAUGUS,Chinese,7
NORWELL,Italian,7
SWAMPSCOTT,Fast Food,6
SWAMPSCOTT,Italian,6
SWAMPSCOTT,Coffee & Tea,6
WAKEFIELD,Chinese,6
WINCHESTER,Fast Food,6
WINTHROP,Others,6
STOUGHTON,Chinese,6
WESTWOOD,American,6
WOBURN,Coffee & Tea,6
WESTWOOD,Italian,6
MELROSE,Asian Fusion,6
LYNNFIELD,Italian,6
DANVERS,Chinese,6
MELROSE,Coffee & Tea,6
MIDDLETON,Italian,6
CHESTNUT HILL,Others,6
MATTAPAN,American,6
MILTON,Italian,6
BROCKTON,American,6
BEDFORD,Italian,6
MARBLEHEAD,Fast Food,6
LYNNFIELD,Others,6
COHASSET,Others,6
HINGHAM,Asian Fusion,6
BILLERICA,Coffee & Tea,6
HYDE PARK,Others,6
BILLERICA,Others,6
BILLERICA,Asian Fusion,6
LEXINGTON,Coffee & Tea,6
JAMAICA PLAIN,Chinese,6
HYDE PARK,Italian,5
MELROSE,Chinese,5
TEWKSBURY,Chinese,5
HOLBROOK,Coffee & Tea,5
BRAINTREE,Coffee & Tea,5
FRAMINGHAM,Others,5
SOMERVILLE,Pubs & Bars,5
ROSLINDALE,Asian Fusion,5
FRAMINGHAM,Fast Food,5
STONEHAM,Chinese,5
FRAMINGHAM,Italian,5
LYNNFIELD,Coffee & Tea,5
HYDE PARK,Fast Food,5
TEWKSBURY,Asian Fusion,5
CHELSEA,Coffee & Tea,5
WAYLAND,Fast Food,5
NORTH READING,Italian,5
NEEDHAM,Asian Fusion,5
CHARLESTOWN,Fast Food,5
BURLINGTON,Chinese,5
SUDBURY,American,4
BROOKLINE,Pubs & Bars,4
FRAMINGHAM,Asian Fusion,4
AVON,American,4
CHARLESTOWN,Italian,4
CHARLESTOWN,Coffee & Tea,4
STOUGHTON,Asian Fusion,4
WINCHESTER,Asian Fusion,4
RANDOLPH,Chinese,4
ALLSTON,Pubs & Bars,4
CHELSEA,Chinese,4
LEXINGTON,Others,4
WAYLAND,Italian,4
LEXINGTON,Chinese,4
NORTH READING,Fast Food,4
CANTON,Asian Fusion,4
NORWELL,Coffee & Tea,4
WELLESLEY,Chinese,4
CANTON,Coffee & Tea,4
HOLBROOK,Chinese,4
BEVERLY,Pubs & Bars,4
ROSLINDALE,Coffee & Tea,4
MILTON,Others,4
NORWELL,Asian Fusion,4
DANVERS,Asian Fusion,4
MIDDLETON,Coffee & Tea,4
MELROSE,Others,4
WESTWOOD,Others,4
WALPOLE,Others,4
READING,Others,4
REVERE,Asian Fusion,4
MATTAPAN,Italian,4
WILMINGTON,Coffee & Tea,4
CHESTNUT HILL,Coffee & Tea,4
BEDFORD,Coffee & Tea,4
DEDHAM,Chinese,4
SWAMPSCOTT,Asian Fusion,4
EVERETT,Coffee & Tea,4
WESTON,American,3
WILMINGTON,Asian Fusion,3
CHARLESTOWN,Others,3
COHASSET,Fast Food,3
WESTWOOD,Fast Food,3
CHARLESTOWN,Chinese,3
SWAMPSCOTT,Others,3
TEWKSBURY,Others,3
SWAMPSCOTT,Chinese,3
CHESTNUT HILL,Fast Food,3
DEDHAM,Asian Fusion,3
WAYLAND,Asian Fusion,3
STONEHAM,Coffee & Tea,3
WALPOLE,Italian,3
NORTH READING,Others,3
WILMINGTON,Chinese,3
ROCKLAND,Italian,3
ROCKLAND,American,3
MATTAPAN,Chinese,3
MATTAPAN,Fast Food,3
WINTHROP,Chinese,3
READING,Chinese,3
READING,Asian Fusion,3
RANDOLPH,Coffee & Tea,3
MIDDLETON,Fast Food,3
QUINCY,Pubs & Bars,3
MILTON,American,3
WINTHROP,Fast Food,3
MILTON,Coffee & Tea,3
AVON,Italian,3
NEEDHAM,Chinese,3
NORTH READING,Coffee & Tea,3
ROCKLAND,Asian Fusion,3
CANTON,Chinese,3
WINCHESTER,Chinese,3
MARBLEHEAD,Asian Fusion,3
BELMONT,Chinese,3
HYDE PARK,Coffee & Tea,3
SALEM,Pubs & Bars,3
CHESTNUT HILL,Asian Fusion,2
WALPOLE,Chinese,2
WALPOLE,Coffee & Tea,2
WALPOLE,Fast Food,2
MIDDLETON,Others,2
WEYMOUTH,Pubs & Bars,2
WESTON,Fast Food,2
LINCOLN,American,2
PEABODY,Pubs & Bars,2
CHESTNUT HILL,Chinese,2
MARBLEHEAD,Chinese,2
AVON,Fast Food,2
COHASSET,Coffee & Tea,2
NAHANT,American,2
NAHANT,Others,2
AUBURNDALE,Coffee & Tea,2
JEFFRIES POINT,American,2
AUBURNDALE,American,2
WAYLAND,Chinese,2
WAYLAND,Coffee & Tea,2
WAYLAND,Others,2
NORWELL,Fast Food,2
WOLLASTON,American,2
SUDBURY,Asian Fusion,2
WALPOLE,Asian Fusion,2
WESTWOOD,Asian Fusion,2
BROCKTON,Fast Food,2
ROCKLAND,Fast Food,2
BEDFORD,Others,2
LYNNFIELD,Fast Food,2
DOVER,Fast Food,2
DORCHESTER,Pubs & Bars,2
BRIGHTON,Pubs & Bars,2
LYNNFIELD,Chinese,2
LINCOLN,Coffee & Tea,2
TEWKSBURY,Coffee & Tea,2
TEWKSBURY,Fast Food,2
WINTHROP,Asian Fusion,2
MEDFIELD,Others,2
FRAMINGHAM,Pubs & Bars,2
BROCKTON,Others,2
WESTWOOD,Chinese,2
LYNN,Pubs & Bars,2
SAUGUS,Pubs & Bars,2
CONCORD,Chinese,2
MIDDLETON,Chinese,2
ANDOVER,Coffee & Tea,1
BROCKTON,Chinese,1
WOBURN,Pubs & Bars,1
BILLERICA,Pubs & Bars,1
ARLINGTON,Pubs & Bars,1
BEDFORD,Chinese,1
WESTON,Coffee & Tea,1
WILMINGTON,Others,1
BACK BAY,Others,1
AUBURNDALE,Fast Food,1
WESTON,Chinese,1
AVON,Others,1
SUDBURY,Coffee & Tea,1
CANTON,Pubs & Bars,1
CARLISLE,American,1
ROXBURY,Pubs & Bars,1
LINCOLN,Italian,1
LYNNFIELD,Asian Fusion,1
MALDEN,Pubs & Bars,1
ROCKPORT,Coffee & Tea,1
ROCKLAND,Chinese,1
REVERE,Pubs & Bars,1
MATTAPAN,Asian Fusion,1
MEDFIELD,Coffee & Tea,1
MEDFIELD,Fast Food,1
MIDDLETON,Asian Fusion,1
MILTON,Chinese,1
MILTON,Fast Food,1
MISSION HILL,Coffee & Tea,1
NAHANT,Italian,1
NANTASKET BEACH,American,1
NORWOOD,Pubs & Bars,1
NEWTON,Pubs & Bars,1
NORTH ANDOVER,Italian,1
NORTH READING,Asian Fusion,1
NORTH READING,Chinese,1
NORWELL,Others,1
NORWELL,Chinese,1
LINCOLN,Asian Fusion,1
LEXINGTON,Pubs & Bars,1
HYDE PARK,Pubs & Bars,1
WABAN,American,1
CHARLESTOWN,Asian Fusion,1
CHELSEA,Asian Fusion,1
WALTHAM,Pubs & Bars,1
COHASSET,Asian Fusion,1
COHASSET,Chinese,1
WAKEFIELD,Pubs & Bars,1
CONCORD,Asian Fusion,1
CONCORD,Others,1
WABAN,Others,1
WABAN,Fast Food,1
DANVERS,Pubs & Bars,1
HYDE PARK,Chinese,1
SUDBURY,Italian,1
SUDBURY,Fast Food,1
STOUGHTON,Coffee & Tea,1
FRANKLIN,American,1
HANOVER,Fast Food,1
HANSCOM AIR FORCE BASE,Fast Food,1
HANSCOM AIR FORCE BASE,Italian,1
HINGHAM,Chinese,1
HOLBROOK,Asian Fusion,1
HYDE PARK,Asian Fusion,1
WOLLASTON,Fast Food,1
